Directorio	Secuencia_p	Orden	Hogar	Regis	Area	P6440	P6450	P6460	P6460s1	P6400	P6422	P6424s2	P6424s3	P6424s1	P6426	P6430s1	P6480	P6480s1	P6500	P6510	P6510s1	P6510s2	P6590	P6590s1	P6600	P6600s1	P6610	P6610s1	P6620	P6620s1	P6585s2a1	P6585s3a1	P6585s4a1	P6585s3a2	P6585s2a2	P6585s1a2	P6585s2	P6585s3	P6585s1a1	P6585s4	P6585s1	P6580	P6580s1	P6580s2	P6630s3	P6630s4a1	P6630s3a1	P6630s2a1	P6630s1a1	P6630s4	P6630s2	P6630s1	P6640	P6765	P6765s1	P6772	P6750	P6760	P550	P6780	P6780s1	P6790	P6410	P6640s1	P9440	P6630s6	P6630s6a1	P6410s1	P6545s1	P6545	P6545s2	P6585s4a2	P6773s1	P6775	P6772s1	P388	P6800	P6810	P6810s1	P6850	P6830	P6830s1	P6870	P6880	P6880s1	P6920	P6930	P6940	P6960	P6980	P6980s1	P6980s2	P6980s3	P6980s4	P6980s5	P6980s6	P6980s7	P6980s8	P6980s7a1	P6990	P7020	P7026	P7028	P7028s1	P7040	P7045	P7050	P7050s1	P7070	P760	P9450	P6915s1	P6915	P7075	P7077	P390	P7090	P7100	P7110	P7120	P7130	P7140	P7140s1	P7140s2	P7140s3	P7140s4	P7140s5	P7140s6	P7140s7	P7140s8	P7140s9	P7140s9a1	P7150	P7160	P7170s1	P7170s5	P7170s6	P7180	P7240	P7240s1	P514	P515	Oficio	Rama2d	Oci	P6430	Rama4d	Rama4dp8	Rama2dp8	Inglabo	Mes	Dpto	Fex_c_2011
3905915	1	2	1	60	17	2									132																																							7		1	3000000	1		3		12											2015	1	1	17	48		.	0	3		8	7		1	1	2	10	1		1								1	1	16	1		2					0	1		1				2				2														1	1	1	2	2		1	1	21	19	1	5	1926			3000000	01	17	249.894733387364
3905916	1	1	1	60	17	1	2	2	12	1	1	2	1	1	132		1		709000	2			2		2		2		2		74000	100000		2	2		1	1		2	2	2			2	800000				1	2	2	2		.						.	12			2	2				2						17	50		.	0	3		9	7		1	1	1	11	1	1									1	1	1	1		2					0	1		1				2				2														1	1	1	2	1		1	1	97	26	1	1	2695			709000	01	17	516.393885243634
3905917	1	1	1	60	17	1	1			1	1	2	2	2	42																																							6			700000	1		3		12												2		17	60		.	60			2	4		3														1	1	300	1		2					0	2		1				2				2														1	2	1	2	2		1	1	98	60	1	4	6031			700000	01	17	390.260834842673
3905917	1	3	1	60	17	1	1			1	1	2	2	2	0		1		120000	2			1	50000	2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	9			2	2				2						17	32	2		32			2	7		2				1								1		2	1	9	4		2					0	2		3				1	20	1	1	1	1	1	1	2	1	2	2	2	2	2		1	1	2	2	1	2	3		2	1	45	52	1	1	5234			170000	01	17	390.260834842673
3905917	1	4	1	60	17	1	2	2	3	1	1	2	1	1	5		1		644350	1	80000	2	2		2		2		1	35000	74000	25000		2	2		1	1		2	2	1	15000	2	2				262000	2	2	1	1									10		4	2	2				2						17	48		.	52			9	7		1	1	1	3	1	1		1							1	1	5	1		2					0	1		1				2				2														1	1	1	2	3		1	1	33	52	1	1	5211			644350	01	17	390.260834842673
3905918	1	1	1	60	17	1	2	1		2	1	1	1	1	408		1		2200000	2			2		2		2		2								2	2		2	2	2			1		1100000	1200000	2200000	2	1	1	2		.						.	12	4		2	2		ALCALDIA		2						17	45		.	0	3		9	7		1	2	1	35	1	1			1						1	2				2						1		1				2				2														1	1	1	2	2		1	1	32	80	1	2	8043	7512	75	2200000	01	17	357.174914963325
3905919	1	2	1	60	17	1	1			1	1	2	2	2	3		1		264000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	3			2	2				2						17	15	2		15			1	2		2				1								1		2	2				2						2		3				2				2														1	1	1	2	3		1	1	54	95	1	3	9500			264000	01	17	370.1244614161
3905919	1	3	1	60	17	1	2	2	6	1	1	2	2	2	3		6		644350	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	3			2	2				2						17	48		.	48			9	7		2				1								1		1	2				2						2		1				2				2														1	2	1	2	3		1	1	77	15	1	1	1551			644350	01	17	370.1244614161
3905920	1	1	1	60	17	1	2	1		1	1	2	1	1	30		1		644350	1	200000	2	2		2		2		2		74000	25000		2	2		1	1		2	2	2			1		320000		644000	2	2	1	1									12		12	2	2				2						17	48		.	60			9	4		1	1	1	18	1	1									1	1	66	1		2					0	1		1				2				2														1	1	1	2	3		1	1	99	90	1	1	9000			644350	01	17	300.287039830248
3905920	1	2	1	60	17	1	1			1	1	2	2	2	12		1		100000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						17	6	2		6			1	2		2				1								1		2	1	4	1		2					0	2		3				2				1	1	1	1	2	2	2	2	2	2	2		2	1	1	1	1	2	3		1	1	54	95	1	3	9500			100000	01	17	300.287039830248
3905922	1	3	1	60	17	1	2	1		1	1	2	1	1	12		2		644350	2			2		2		2		2		73944				2		1	2		2	2	2			2				644350	2	2	1	2		.						.	12			2	2				2						17	48		.	48			4	7		1	1	1	1	1	1									1	1	12	1		2					0	1		1				2				2														1	1	1	2	2		1	1	87	28	1	1	2811			644350	01	17	348.114454026036
3905923	1	1	1	60	17	1	2	1		2	1	2	1	1	12		3		644350	2			2		2		2		2		73944	25000		2	2		1	1		2	2	2			2				644350	2	2	1	2		.						.	12	1		1	2				2						17	48		.	48			9	7		1	1	1	1	1	1									1	1	12	1		1	10	4		300000	3	1		1	1	2	17	2				2														1	1	1	2	2		1	1	38	74	1	1	7499	7491	74	944350	01	17	429.371654197602
3905923	1	2	1	60	17	2									24																																							6			1000000	1		3		12												2		17	35	2		35			1	2		1	1	2	6	1		1								1	1	4	1		2					0	2		1				2				2														1	1	1	2	2		1	1	07	85	1	4	8515			1000000	01	17	429.371654197602
3905925	1	1	1	60	17	2									84																																							7		1	600000	1		3		12											2015	1	1	17	48		.	0	3		1	7		1	1	2	10	1		1								1	1	96	1		2					2	2		1				2				2														1	1	1	2	8		2	1	12	74	1	4	7411			600000	01	17	332.705252073633
3905925	1	2	1	60	17	2									12																																							6			600000	1		3		12												2		17	35	2		0	3		1	7		2				1								1		2	1	12	1		2					12	2		3				2				2														1	2	1	2	8		1	1	12	74	1	4	7411			600000	01	17	332.705252073633
3905926	1	1	1	60	17	1	2	1		2	2	2	1	1	168		2		644350	2			2		2		2		2		73944	50000		2	2		1	1		2	2	2			2				644350	2	2	1	2		.						.	12	1		2	2				2						17	48		.	48			9	7		1	2	1	15	1	1									1	1	12	1		2					2	1		1				2				2														1	1	1	2	2		1	1	21	15	1	1	1581	7491	74	644350	01	17	416.302793070346
3905926	1	2	1	60	17	1	2	1		1	1	2	1	1	24		1		644350	2			2		2		2		2		73944	50000		2	2		1	1		2	2	2			2				644350	2	2	1	2		.						.	12			2	2				2						17	48		.	48			8	7		1	1	1	2	1	1									1	1	24	1		2					3	1		1				2				2														1	1	1	2	2		1	1	55	85	1	1	8531			644350	01	17	416.302793070346
3905927	1	2	1	60	17	1	2	1		1	1	2	1	1	60		2		644350	2			2		2		2		2		73944				2		1	2		2	2	2			2				644350	2	2	1	2		.						.	12			2	2				2						17	48		.	48			5	7		1	2	1	10	1	1									1	1	36	1		2					6	1		1				2				2														1	1	1	2	2		1	1	88	52	1	1	5239			644350	01	17	535.89535523065
3905927	1	3	1	60	17	1	2	1		2	1	2	1	1	24		2		644350	2			2		2		2		2		73944	75000		2	2		1	1		2	2	2			2				644350	2	2	1	2		.						.	12	1		2	2				2						17	50		.	50			9	2		1	1	1	5	1	1									1	1	24	1		2					8	1		1				2				2														1	1	1	2	3		1	1	03	64	1	1	6421	7491	74	644350	01	17	535.89535523065
3905973	1	1	1	60	76	1	1			1	2	2	2	2	36																																							3			480000	1		3		12												3		76	39	1		39			4	2		2				1								1		2	1	2	1		2					1	2		2				1	9	2	1	1	1	1	1	2	2	2	1	2	1	1	NO LE PAGAN PRESTACIONES	2	1	2	2	1	2	3		1	1	77	15	1	4	1551			480000	01	76	1072.3665847731
