Period,Release,Studio,Count,Box Office
"51","Jul 2004","Universal Pictures","51","3797.8"
"51","Jul 2004","Walt Disney Pictures","8","510.8"
"51","Jul 2004","Paramount Pictures","54","2588.7"
"51","Jul 2004","Sony Pictures","12","1187.8"
"51","Jul 2004","New Line Cinema","42","2695.3"
"51","Jul 2004","Columbia Pictures","40","2125.0"
"51","Jul 2004","Buena Vista","5","402.6"
"51","Jul 2004","Lionsgate Films","0","0"
"52","Aug 2004","Warner Bros. Pictures","63","3819.2"
"52","Aug 2004","20th Century Fox","50","2989.6"
"52","Aug 2004","Universal Pictures","51","3797.8"
"52","Aug 2004","Walt Disney Pictures","8","510.8"
"52","Aug 2004","Paramount Pictures","57","2755.5"
"52","Aug 2004","Sony Pictures","13","1208.2"
"52","Aug 2004","New Line Cinema","43","2701.8"
"52","Aug 2004","Columbia Pictures","40","2125.0"
"52","Aug 2004","Buena Vista","5","402.6"
"52","Aug 2004","Lionsgate Films","0","0"
"53","Sep 2004","Warner Bros. Pictures","64","3819.9"
"53","Sep 2004","20th Century Fox","52","3014.2"
"53","Sep 2004","Universal Pictures","52","3814.6"
"53","Sep 2004","Walt Disney Pictures","8","510.8"
"53","Sep 2004","Paramount Pictures","57","2755.5"
"53","Sep 2004","Sony Pictures","15","1325.5"
"53","Sep 2004","New Line Cinema","44","2733.8"
"53","Sep 2004","Columbia Pictures","40","2125.0"
"53","Sep 2004","Buena Vista","5","402.6"
"53","Sep 2004","Lionsgate Films","0","0"
"54","Oct 2004","Warner Bros. Pictures","64","3819.9"
"54","Oct 2004","20th Century Fox","53","3050.7"
"54","Oct 2004","Universal Pictures","54","3950.4"
"54","Oct 2004","Walt Disney Pictures","8","510.8"
"54","Oct 2004","Paramount Pictures","58","2788.2"
"54","Oct 2004","Sony Pictures","15","1325.5"
"54","Oct 2004","New Line Cinema","46","2749.2"
"54","Oct 2004","Columbia Pictures","40","2125.0"
"54","Oct 2004","Buena Vista","5","402.6"
"54","Oct 2004","Lionsgate Films","0","0"
