Title,Year,Rating,Runtime,Genre,Critic.Score,Box.Office,Awards,International
The Shipping News,2001,R,111,"Drama, Romance",55,11.4,TRUE,FALSE
Gosford Park,2001,R,137,"Drama, Mystery",85,41.3,TRUE,TRUE
Black Hawk Down,2001,R,144,"Drama, History, Thriller",76,108.6,TRUE,TRUE
I Am Sam,2001,PG-13,132,Drama,34,40.3,TRUE,FALSE
Birthday Girl,2001,R,93,"Comedy, Crime, Thriller",58,4.9,TRUE,TRUE
In the Bedroom,2001,R,130,"Crime, Drama",93,35.7,TRUE,FALSE
Super Troopers,2001,R,100,"Comedy, Crime, Mystery",35,18.4,TRUE,FALSE
Monster's Ball,2001,R,111,"Drama, Romance",85,31.3,TRUE,FALSE
Iris,2001,R,91,"Biography, Drama, Romance",79,5.4,TRUE,TRUE
The Mystic Masseur,2001,PG,117,"Comedy, Drama",52,0.3,TRUE,TRUE
Kissing Jessica Stein,2001,R,97,"Comedy, Drama, Romance",84,7,TRUE,FALSE
The Other Side of Heaven,2001,PG,113,"Adventure, Biography, Drama",29,4.4,TRUE,FALSE
Piñero,2001,R,103,"Biography, Drama",43,0.2,TRUE,FALSE
Frailty,2001,R,100,"Crime, Drama, Thriller",73,13.1,TRUE,TRUE
Human Nature,2001,R,96,"Comedy, Drama",49,0.7,TRUE,TRUE
Monsoon Wedding,2001,R,114,"Comedy, Drama, Romance",95,13.7,TRUE,TRUE
Jason X,2001,R,91,"Horror, Sci-Fi, Thriller",19,12.6,FALSE,FALSE
The Cat's Meow,2001,PG-13,114,Drama,75,3.2,TRUE,TRUE
Dogtown and Z-Boys,2001,PG-13,91,"Documentary, Sport",92,1.2,TRUE,FALSE
CQ,2001,R,88,"Drama, Comedy, Sci-Fi",67,0.3,FALSE,TRUE
Enigma,2001,R,119,"Drama, Mystery, Romance",72,3.8,TRUE,TRUE
Thirteen Conversations About One Thing,2001,R,104,Drama,83,3,TRUE,FALSE
Festival in Cannes,2001,PG-13,100,Comedy,65,0.041,FALSE,FALSE
Lovely & Amazing,2001,R,91,"Comedy, Drama, Romance",86,4.2,TRUE,FALSE
Little Secrets,2001,PG,96,"Comedy, Drama, Family",60,0.4,TRUE,FALSE
Knockaround Guys,2001,R,92,"Crime, Drama, Thriller",20,11.5,FALSE,FALSE
Pokémon 4: The Movie,2001,G,75,"Animation, Action, Adventure",14,1.6,FALSE,TRUE
The Man from Elysian Fields,2001,R,106,"Drama, Romance",51,1.3,FALSE,FALSE
Cowboy Bebop: The Movie,2001,R,115,"Animation, Action, Crime",64,0.9,FALSE,TRUE
The Safety of Objects,2001,R,121,Drama,49,0.0862,TRUE,TRUE
On_Line,2002,R,97,Drama,38,0.0257,TRUE,FALSE
Orange County,2002,PG-13,82,"Comedy, Drama",46,41,FALSE,FALSE
Snow Dogs,2002,PG,99,"Adventure, Comedy, Family",24,81.1,TRUE,TRUE
State Property,2002,R,88,"Drama, Crime, Action",0,2.1,FALSE,FALSE
Kung Pow: Enter the Fist,2002,PG-13,81,"Action, Comedy",11,15.9,FALSE,TRUE
The Count of Monte Cristo,2002,PG-13,131,"Action, Adventure, Drama",73,54.1,FALSE,TRUE
The Mothman Prophecies,2002,PG-13,119,"Drama, Horror, Mystery",52,35.2,TRUE,FALSE
A Walk to Remember,2002,PG,101,"Drama, Romance",27,41.1,TRUE,FALSE
The Singles Ward,2002,PG,102,"Comedy, Drama, Romance",50,1.1,FALSE,FALSE
Slackers,2002,R,86,"Comedy, Romance",10,4.8,FALSE,TRUE
Big Fat Liar,2002,PG,88,"Adventure, Comedy, Family",42,47.8,TRUE,TRUE
Collateral Damage,2002,R,108,"Action, Drama, Thriller",19,40,FALSE,FALSE
Rollerball,2002,R,98,"Action, Sci-Fi, Sport",3,18.9,FALSE,TRUE
Hart's War,2002,R,125,"Drama, War",60,19,TRUE,FALSE
Crossroads,2002,PG-13,93,"Comedy, Drama, Music",14,37.1,TRUE,FALSE
John Q,2002,PG-13,116,"Crime, Drama, Thriller",23,71,TRUE,FALSE
Return to Never Land,2002,G,72,"Animation, Adventure, Family",45,48.3,FALSE,TRUE
Heaven,2002,R,97,"Crime, Drama, Romance",74,0.6,TRUE,TRUE
Dragonfly,2002,PG-13,104,"Drama, Fantasy, Mystery",7,30.1,FALSE,TRUE
Queen of the Damned,2002,R,101,"Drama, Fantasy, Horror",17,30.3,TRUE,TRUE
We Were Soldiers,2002,R,138,"Action, Drama, History",63,78.1,TRUE,TRUE
All About the Benjamins,2002,R,95,"Action, Comedy, Crime",30,25.5,FALSE,TRUE
The Time Machine,2002,PG-13,96,"Sci-Fi, Adventure, Action",29,56.7,TRUE,FALSE
Showtime,2002,PG-13,95,"Action, Comedy, Crime",25,37.9,TRUE,TRUE
Ice Age,2002,PG,81,"Animation, Adventure, Comedy",77,176.2,TRUE,FALSE
Resident Evil,2002,R,100,"Action, Fantasy, Horror",33,39.5,FALSE,TRUE
Blade II,2002,R,117,"Action, Horror, Sci-Fi",59,81.6,TRUE,TRUE
Sorority Boys,2002,R,93,Comedy,13,10.2,TRUE,FALSE
Clockstoppers,2002,PG,94,"Adventure, Sci-Fi, Thriller",29,36.9,FALSE,FALSE
The Rookie,2002,G,127,"Drama, Family, Sport",83,75.5,TRUE,FALSE
Death to Smoochy,2002,R,109,"Comedy, Crime, Drama",42,8.3,FALSE,TRUE
Panic Room,2002,R,112,Thriller,76,95.3,TRUE,FALSE
Van Wilder: Party Liaison,2002,R,92,"Comedy, Romance",18,21,FALSE,TRUE
Big Trouble,2002,PG-13,85,"Comedy, Crime, Thriller",48,7.3,FALSE,FALSE
The Sweetest Thing,2002,R,88,"Comedy, Romance",26,24.4,FALSE,FALSE
Changing Lanes,2002,R,98,"Drama, Thriller",77,66.7,FALSE,FALSE
The Scorpion King,2002,PG-13,92,"Action, Adventure, Fantasy",41,90.3,TRUE,TRUE
Life or Something Like It,2002,PG-13,103,"Comedy, Romance",28,14.4,FALSE,FALSE
Hollywood Ending,2002,PG-13,112,"Comedy, Romance",47,4.8,FALSE,FALSE
Deuces Wild,2002,R,96,"Action, Crime, Drama",3,6,FALSE,TRUE
The New Guy,2002,PG-13,88,Comedy,7,29,FALSE,FALSE
Unfaithful,2002,R,124,"Drama, Romance, Thriller",49,52.7,TRUE,TRUE
Star Wars: Episode II - Attack of the Clones,2002,PG,142,"Action, Adventure, Fantasy",67,310.3,TRUE,FALSE
The Salton Sea,2002,R,103,"Crime, Drama, Mystery",62,0.6,TRUE,FALSE
